iter	Passed	Remaining
148	13754	32402
149	13864	32351
150	13971	32291
151	14067	32206
152	14149	32090
153	14228	31968
154	14297	31823
155	14367	31681
156	14430	31526
157	14499	31385
158	14577	31263
159	14641	31112
160	14708	30969
161	14778	30834
162	14855	30712
163	14919	30566
164	14989	30432
165	15056	30295
166	15120	30149
167	15188	30015
168	15254	29877
169	15315	29730
170	15392	29615
171	15457	29477
172	15535	29364
173	15597	29222
174	15662	29086
175	15725	28948
176	15793	28820
177	15859	28689
178	15923	28555
179	15992	28430
180	16056	28297
181	16120	28166
182	16188	28041
183	16253	27914
184	16330	27805
185	16395	27679
186	16458	27548
187	16524	27423
188	16598	27313
189	16676	27208
190	16742	27086
191	16809	26965
192	16879	26849
193	16947	26730
194	17019	26620
195	17084	26497
196	17153	26383
197	17217	26261
198	17303	26171
199	17384	26076
200	17455	25966
201	17522	25850
202	17587	25731
203	17650	25611
204	17719	25499
205	17788	25387
206	17853	25271
207	17921	25158
208	17987	25045
209	18049	24925
210	18109	24804
211	18175	24691
212	18243	24581
213	18308	24468
214	18375	24357
215	18438	24243
216	18502	24130
217	18571	24023
218	18638	23915
219	18709	23812
220	18785	23715
221	18854	23610
222	18919	23500
223	18985	23392
224	19047	23280
225	19111	23170
226	19186	23074
227	19251	22966
228	19316	22859
229	19382	22753
230	19448	22647
231	19524	22554
232	19595	22454
233	19659	22347
234	19723	22241
235	19809	22159
236	19872	22052
237	19946	21957
238	20014	21856
239	20080	21753
240	20153	21658
241	20217	21553
242	20283	21451
243	20345	21346
244	20421	21255
245	20489	21155
246	20559	21058
247	20626	20959
248	20692	20858
249	20764	20764
250	20831	20665
251	20901	20569
252	20976	20478
253	21042	20379
254	21108	20280
255	21176	20183
256	21248	20090
257	21315	19993
258	21389	19903
259	21458	19807
260	21535	19719
261	21602	19623
262	21667	19525
263	21741	19435
264	21817	19347
265	21899	19264
266	21977	19178
267	22052	19089
268	22121	18996
269	22193	18905
270	22262	18811
271	22333	18720
272	22400	18626
273	22473	18536
274	22546	18447
275	22615	18354
276	22683	18261
277	22755	18171
278	22827	18081
279	22894	17988
280	22968	17900
281	23033	17805
282	23100	17713
283	23173	17625
284	23243	17534
285	23317	17447
286	23387	17357
287	23465	17273
288	23541	17187
289	23613	17099
290	23686	17011
291	23762	16927
292	23829	16835
293	23900	16746
294	23972	16658
295	24045	16572
296	24127	16491
297	24208	16409
298	24291	16329
299	24368	16245
300	24442	16159
301	24516	16073
302	24614	16003
303	24709	15931
304	24780	15843
305	24851	15755
306	24926	15670
307	25097	15645
308	25237	15599
309	25399	15567
310	25543	15523
311	25715	15494
312	25873	15458
313	26028	15418
314	26192	15383
315	26314	15322
316	26430	15258
317	26546	15193
318	26660	15126
319	26768	15057
320	26854	14974
321	26941	14892
322	27014	14803
323	27083	14712
324	27159	14624
325	27230	14533
326	27296	14441
327	27372	14353
328	27433	14259
329	27497	14165
330	27565	14074
331	27633	13983
332	27702	13892
333	27769	13801
334	27835	13709
335	27905	13620
336	27976	13531
337	28048	13443
338	28114	13352
339	28184	13263
340	28268	13180
341	28353	13098
342	28434	13015
343	28506	12927
344	28601	12849
345	28672	12761
346	28743	12673
347	28817	12586
348	28885	12497
349	28957	12410
350	29032	12324
351	29104	12237
352	29173	12148
353	29240	12059
354	29306	11970
355	29373	11881
356	29438	11791
357	29510	11705
358	29581	11618
359	29653	11531
360	29721	11444
361	29790	11356
362	29856	11268
363	29931	11183
364	30000	11096
365	30070	11009
366	30137	10921
367	30209	10835
368	30276	10748
369	30344	10661
370	30410	10574
371	30478	10487
372	30550	10401
373	30618	10315
374	30685	10228
375	30764	10145
376	30828	10058
377	30896	9971
378	30968	9887
379	31037	9801
380	31105	9715
381	31174	9629
382	31239	9543
383	31307	9457
384	31378	9372
385	31447	9287
386	31516	9202
387	31589	9118
388	31660	9034
389	31728	8948
390	31795	8863
391	31864	8779
392	31934	8694
393	32008	8611
394	32076	8526
395	32145	8442
396	32212	8357
397	32280	8272
398	32351	8189
399	32416	8104
400	32488	8020
401	32571	7940
402	32639	7856
403	32713	7773
404	32787	7690
405	32854	7606
406	32923	7523
407	32994	7439
408	33061	7355
409	33127	7271
410	33196	7188
411	33265	7105
412	33332	7021
413	33400	6938
414	33466	6854
415	33535	6771
416	33607	6689
417	33676	6606
418	33752	6525
419	33831	6444
420	33899	6361
421	33972	6279
422	34039	6196
423	34110	6114
424	34182	6032
425	34250	5949
426	34320	5867
427	34396	5786
428	34466	5704
429	34539	5622
430	34608	5540
431	34676	5458
432	34751	5377
433	34819	5295
434	34884	5212
435	34959	5131
436	35026	5049
437	35107	4969
438	35190	4889
439	35268	4809
440	35334	4727
441	35403	4645
442	35474	4564
443	35548	4483
444	35617	4402
445	35685	4320
446	35756	4239
447	35823	4158
448	35889	4076
449	35976	3997
450	36041	3915
451	36111	3834
452	36178	3753
453	36242	3672
454	36309	3591
455	36375	3509
456	36443	3429
457	36507	3347
458	36575	3267
459	36642	3186
460	36707	3105
461	36781	3025
462	36855	2945
463	36948	2866
464	37024	2786
465	37107	2707
466	37184	2627
467	37256	2547
468	37325	2467
469	37397	2387
470	37472	2307
471	37543	2227
472	37619	2147
473	37685	2067
474	37760	1987
475	37829	1907
476	37899	1827
477	37977	1747
478	38081	1669
479	38150	1589
480	38216	1509
481	38287	1429
482	38392	1351
483	38548	1274
484	38674	1196
485	38800	1117
486	38906	1038
487	39016	959
488	39105	879
489	39177	799
490	39241	719
491	39306	639
492	39377	559
493	39448	479
494	39522	399
495	39594	319
496	39664	239
497	39731	159
498	39811	79
499	39889	0
