iter	Logloss
113	0.6176824732
114	0.6169653284
115	0.6162550206
116	0.6154641069
117	0.614888097
118	0.6143405178
119	0.6135192897
120	0.6127003939
121	0.6122426777
122	0.6115191138
123	0.6108123163
124	0.609800081
125	0.6093575398
126	0.6086791545
127	0.6080995534
128	0.6072447795
129	0.606698601
130	0.6060196348
131	0.6051863277
132	0.6046512062
133	0.6040231001
134	0.6035283548
135	0.6031350412
136	0.6023172005
137	0.601657613
138	0.6009921055
139	0.6003774223
140	0.5997903798
141	0.5992331728
142	0.5984768698
143	0.597908724
144	0.5971119402
145	0.5963534072
146	0.5957002127
147	0.5949460846
148	0.594464718
149	0.5939839382
150	0.5934010633
151	0.5927360597
152	0.5922602055
153	0.5916728352
154	0.5909101484
155	0.5904351288
156	0.5898489141
157	0.5888305809
158	0.5881837054
159	0.5875993752
160	0.5870238442
161	0.5865122872
162	0.5859851403
163	0.5853891591
164	0.5848026457
165	0.584037914
166	0.5834391781
167	0.5826559734
168	0.5819096926
169	0.5812337974
170	0.5804032769
171	0.5796156917
172	0.5790873812
173	0.57859125
174	0.5780443078
175	0.5775482842
176	0.5770777714
177	0.5761765189
178	0.5758193313
179	0.5752697877
180	0.5749545719
181	0.5744713327
182	0.5739135622
183	0.573689108
184	0.5731458112
185	0.572485962
186	0.5718893028
187	0.5713024022
188	0.5707995882
189	0.5702017829
190	0.5694151112
191	0.5685602958
192	0.5678716621
193	0.5674927467
194	0.5669459957
195	0.5663963757
196	0.5658185782
197	0.5650703318
198	0.5643487123
199	0.5636810894
200	0.5630633316
201	0.5624958767
202	0.5619975419
203	0.5613499115
204	0.5607161518
205	0.5601962773
206	0.5597915804
207	0.5592870883
208	0.5585900408
209	0.5580610838
210	0.5573191069
211	0.5568946745
212	0.5566579022
213	0.5559836048
214	0.5554328646
215	0.5551407674
216	0.5544265448
217	0.5538084752
218	0.5533196051
219	0.5526296302
220	0.5521058155
221	0.5515941364
222	0.551074611
223	0.5505423249
224	0.550009807
225	0.5494318177
226	0.5488748242
227	0.5482537783
228	0.5480105876
229	0.5475299226
230	0.5471559586
231	0.5466603282
232	0.5461419248
233	0.5454952541
234	0.5449839367
235	0.5443875352
236	0.5438874948
237	0.5433532296
238	0.5428823526
239	0.5422876954
240	0.5417894791
241	0.5414146687
242	0.5409097845
243	0.5404338137
244	0.539815253
245	0.5391218177
246	0.5385690794
247	0.5381585972
248	0.5377654196
249	0.5373485209
250	0.5364890823
251	0.5362522823
252	0.5356691497
253	0.5349692657
254	0.5343223816
255	0.5338041661
256	0.5331576444
257	0.5326831709
258	0.5321285157
259	0.5316171333
260	0.5310584838
261	0.5306491846
262	0.5301740872
263	0.5297391805
264	0.5291695758
265	0.5288106974
266	0.5282972664
267	0.527982441
268	0.52748822
269	0.527004207
270	0.5267073258
271	0.5262722311
272	0.5255691713
273	0.5250583591
274	0.5245452861
275	0.5238683812
276	0.5233039303
277	0.5230637156
278	0.5223854549
279	0.5221705433
280	0.5217610489
281	0.5213039102
282	0.5209225031
283	0.5205063701
284	0.5201547967
285	0.5197404318
286	0.5192625685
287	0.5187564422
288	0.5182713744
289	0.5176245855
290	0.5173102601
291	0.5168484006
292	0.5163350624
293	0.5157983878
294	0.5157351593
295	0.5151388428
296	0.5147958661
297	0.5141332745
298	0.5137216587
299	0.5132339108
300	0.5126452563
301	0.5121462213
302	0.5117564166
303	0.511295173
304	0.5107799632
305	0.5100491354
306	0.5098030506
307	0.5095053643
308	0.5090184675
309	0.5086436286
310	0.5083521977
311	0.5079317124
312	0.5075232045
313	0.5071528012
314	0.5068219158
315	0.5061877225
316	0.505813921
317	0.5053906254
318	0.5047919382
319	0.5042408406
320	0.5038767035
321	0.5033305517
322	0.5028625511
323	0.502383379
324	0.5019541707
325	0.5013755487
326	0.5009063066
327	0.5004350542
328	0.4998804791
329	0.4995230704
330	0.4990041113
331	0.4984342
332	0.4980075054
333	0.4976819448
334	0.4973048176
335	0.4968559626
336	0.4964326056
337	0.4958655018
338	0.4953023124
339	0.4947927084
340	0.494336609
341	0.4939018419
342	0.4934195223
343	0.4930024799
344	0.4926266282
345	0.4921487018
346	0.4917926773
347	0.4911682152
348	0.4907116243
349	0.4901851537
350	0.4898579741
351	0.4893227238
352	0.4888364427
353	0.4883122796
354	0.4878983314
355	0.4874994349
356	0.4871952702
357	0.4867613895
358	0.486396037
359	0.4859410196
360	0.4855591003
361	0.4852214157
362	0.4848015631
363	0.4843115527
364	0.4837894095
365	0.4832803203
366	0.4828869796
367	0.482568049
368	0.4821033038
369	0.4816208894
370	0.4812519306
371	0.4807730212
372	0.4803277083
373	0.4801706534
374	0.4797664857
375	0.4792615803
376	0.4787146936
377	0.4783481887
378	0.478023389
379	0.4776137203
380	0.477200244
381	0.4766869452
382	0.4763841727
383	0.4759463733
384	0.4756712418
385	0.475192878
386	0.4748680614
387	0.4744778814
388	0.4740734725
389	0.473723174
390	0.4732068113
391	0.4728647402
392	0.4724905121
393	0.4721219728
394	0.4718029915
395	0.4714355024
396	0.4711568066
397	0.4707731498
398	0.4703481167
399	0.4701745019
400	0.4696867348
401	0.4692162117
402	0.4687952427
403	0.4683799228
404	0.4681367058
405	0.4676742266
406	0.4671090963
407	0.4666457292
408	0.4662476029
409	0.4659063438
410	0.4654444881
411	0.4651797629
412	0.4647463352
413	0.4642989377
414	0.4638048988
415	0.4635333722
416	0.4631153278
417	0.4627236517
418	0.4621787489
419	0.4616306675
420	0.4611594268
421	0.4607881298
422	0.460409113
423	0.4600507216
424	0.4595330365
425	0.4591966199
426	0.4587602995
427	0.4582898604
428	0.4578756431
429	0.457499806
430	0.4571616955
431	0.4566900721
432	0.4563100765
433	0.4558837043
434	0.4554577303
435	0.4550376234
436	0.4545498718
437	0.454133037
438	0.4537309858
439	0.4533868933
440	0.4531195116
441	0.4526378394
442	0.4521984035
443	0.4518395418
444	0.4514936149
445	0.4510393677
446	0.4505720043
447	0.4502009433
448	0.44994089
449	0.4495391189
450	0.4489021999
451	0.448408295
452	0.4480579851
453	0.4477946263
454	0.4472552545
455	0.4467877498
456	0.4466028966
457	0.4464787852
458	0.4460173716
459	0.4456746925
460	0.445379999
461	0.4449204975
462	0.4445025995
463	0.4440135429
464	0.4436650228
465	0.4432634572
466	0.4429519463
467	0.4425078163
468	0.4422314055
469	0.4415801641
470	0.4412620238
471	0.4410253407
472	0.4406582316
473	0.4401365578
474	0.4398341607
475	0.4393809858
476	0.4389722371
477	0.4386891205
478	0.4382517564
479	0.4379141413
480	0.4375344821
481	0.4370848796
482	0.4368395275
483	0.4364981614
484	0.4360990431
485	0.4356047305
486	0.4352598019
487	0.4351450277
488	0.4348343554
489	0.4345693081
490	0.434443147
491	0.4340115864
492	0.4336554622
493	0.4332362186
494	0.4327620162
495	0.4324506108
496	0.4320795913
497	0.4316987875
498	0.4313334851
499	0.4309138645
