iter	Logloss
0	0.6923412141
1	0.6913372401
2	0.6902934684
3	0.6892438687
4	0.6883748609
5	0.6873240822
6	0.6865577284
7	0.6855969458
8	0.6844560619
9	0.6838139874
10	0.6829726832
11	0.6819599495
12	0.6810885541
13	0.6804815032
14	0.6795769028
15	0.6788018201
16	0.6779314015
17	0.6771603046
18	0.6763332304
19	0.675616598
20	0.6748739081
21	0.67402511
22	0.6733652759
23	0.672604535
24	0.6718267107
25	0.6710343312
26	0.6702231496
27	0.66934749
28	0.6685851501
29	0.6681933126
30	0.6675420888
31	0.6671412053
32	0.6664278189
33	0.6656571839
34	0.6653086144
35	0.6644733366
36	0.6640169589
37	0.663621981
38	0.6629599312
39	0.6623869832
40	0.6614446389
41	0.6607117051
42	0.6601931635
43	0.659638247
44	0.6591058007
45	0.658215516
46	0.6576242223
47	0.6570404187
48	0.656297654
49	0.6556456378
50	0.6545040306
51	0.653911005
52	0.6531387825
53	0.652263723
54	0.6522476348
55	0.651436889
56	0.6507602042
57	0.6503360319
58	0.6497009766
59	0.6492569582
60	0.6485515535
61	0.6477665717
62	0.6471483961
63	0.6466015686
64	0.6460589076
65	0.6455467657
66	0.6447238713
67	0.6443087375
68	0.6433626789
69	0.6426726274
70	0.6426726268
71	0.6421527876
72	0.6412571954
73	0.6406482548
74	0.6402108614
75	0.6395649132
76	0.6390844623
77	0.6386629216
78	0.6384447041
79	0.6378657919
80	0.6375909476
81	0.6370465151
82	0.6364418285
83	0.6359359741
84	0.6352387269
85	0.6347934557
86	0.6341778475
87	0.6336615911
88	0.6332056291
89	0.6324194324
90	0.6320696921
91	0.6314222541
92	0.6310139302
93	0.6301707408
94	0.6294484243
95	0.6288635372
96	0.6282474316
97	0.6277529423
98	0.6272748445
99	0.6265142477
100	0.6258007792
101	0.625320144
102	0.6246481012
103	0.6239158898
104	0.6233740337
105	0.62290983
106	0.6223626809
107	0.6214886163
108	0.6212917155
109	0.6205308369
110	0.619765574
111	0.6192573642
112	0.618520737
